# Om h w0 sigma8
0.350144 0.707418 -1.216086 0.892700
0.387051 0.787803 -1.096119 0.824871
0.327102 0.781053 -0.836081 0.673094
0.339554 0.736514 -1.302878 0.849208
0.293866 0.620079 -0.616471 0.752039
0.229786 0.718291 -0.769299 0.814115
0.274505 0.609077 -1.011120 0.793373
0.309787 0.774507 -1.182791 0.764144
0.265733 0.735885 -1.137573 0.656508
0.371088 0.664167 -0.656677 0.623814
0.361706 0.679025 -1.323622 0.687689
0.287887 0.699794 -0.718768 0.882621
0.214369 0.753986 -1.065439 0.706760
0.251592 0.641868 -0.894702 0.736079
0.239130 0.601937 -1.390785 0.635800
0.312440 0.749752 -0.881450 0.866692
0.303694 0.726119 -1.028754 0.830741
0.392847 0.638025 -0.667366 0.642034
0.334238 0.681975 -1.355361 0.725907
0.216615 0.689266 -0.977228 0.863609
0.378551 0.631479 -1.246308 0.781670
0.207638 0.798149 -0.820653 0.770031
0.353935 0.650249 -0.925739 0.669671
0.247434 0.761859 -0.740804 0.708514
0.258033 0.661721 -1.148784 0.608328
